trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
43,0,43,0,96.96967449999647,,96.91162389999954,10,96.96967449999647,96.96967449999647,0.0334158000187017,98.63764529995387,[0.013333333333333334],[0.11166666666666666],[1],[0],[0],[1.6927126999944448],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
44,0,44,0,98.7002564999857,,98.64085099997465,10,98.7002564999857,98.7002564999857,0.03350829996634275,100.65154589997837,[0.455],[0.21166666666666667],[1],[0],[0],[1.9774650000035763],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
45,0,45,0,100.71394289995078,,100.65476149995811,10,100.71394289995078,100.71394289995078,0.032565200002864,104.3971779999556,[0.43],[-0.035],[1],[0],[0],[3.710075900016818],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
46,0,46,0,104.44118520000484,,104.40027039998677,5,104.44118520000484,104.44118520000484,0.01642059994628653,106.85921539994888,[-0.006666666666666667],[-0.06833333333333333],[1],[0],[0],[2.4427566999802366],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
47,0,47,0,106.92039499996463,,106.8623707999941,10,106.92039499996463,106.92039499996463,0.03667659999337047,133.0662649999722,[-0.25],[-0.38166666666666665],[1],[0],[0],[26.167337899969425],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
48,0,48,0,133.1119249999756,,133.0698115999694,5,133.1119249999756,133.1119249999756,0.016916599997784942,134.4823527999688,[-0.33166666666666667],[-0.22666666666666666],[1],[0],[0],[1.3961260000360198],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
49,0,49,0,134.54302009998355,,134.48638799996115,10,134.54302009998355,134.54302009998355,0.035626200027763844,136.34372919995803,[0.3],[-0.3383333333333333],[1],[0],[0],[1.822147800005041],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
50,0,50,0,136.39004139997996,,136.34679659997346,5,136.39004139997996,136.39004139997996,0.017135399975813925,137.97644919995219,[0.48833333333333334],[0.11],[1],[0],[0],[1.6127817000378855],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
51,0,51,0,138.02088679996086,,137.9795921999612,5,138.02088679996086,138.02088679996086,0.017818099993746728,139.47334579995368,[-0.30833333333333335],[0.32166666666666666],[1],[0],[0],[1.476258400012739],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
52,0,52,0,139.53479259996675,,139.47638229996664,10,139.53479259996675,139.53479259996675,0.03234640002483502,141.26919629995245,[-0.14],[0.34833333333333333],[1],[0],[0],[1.760731200047303],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
53,0,53,0,141.33225099998526,,141.27226219995646,10,141.33225099998526,141.33225099998526,0.032278900034725666,142.90016779996222,[-0.42333333333333334],[0.295],[1],[0],[0],[1.5957767000072636],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
54,0,54,0,142.96263979998184,,142.9033258999698,10,142.96263979998184,142.96263979998184,0.032833000004757196,144.49866879999172,[-0.11166666666666666],[0.08333333333333333],[1],[0],[0],[1.562667499994859],['Target'],04,001,2024-10-09_14h21.23.415,3.0 search,2024.1.5,None,2024-10-09 14h21.36.181803 +0530,
