delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,1000,exp,327,3,27,space,0.255837100034114,None,800,1,[1.9206761000095867],[1.9206836000084877],27,3,327,4,1352.7912217000267,,1352.7789966000128,1352.7912217000267,1353.790545900003,1353.790545900003,1353.8068480000366,1354.0613796000252,space,0.255837100034114,None,1354.062265400018,1354.4742278666856,1354.7897001000238,1354.773154800001,1354.7735598,1354.7897001000238,1354.7897001000238,1354.7897001000238,1356.7111425999901,800,1,[1.9206761000095867],[1.9206836000084877],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,1000,exp,328,4,27,space,0.3273380000027828,None,700,1,[2.68741690000752],[2.6874268999672495],27,4,328,3,1356.7244871000294,,1356.7114500000025,1356.7244871000294,1357.7242680999916,1357.7242680999916,1357.7242680999916,1358.0616952000419,space,0.3273380000027828,None,1358.062547700014,1358.1740135666953,1358.4893500999897,1358.4745326000266,1358.474942700006,1358.4893500999897,1358.4893500999897,1358.4893500999897,1361.1774948000093,700,1,[2.68741690000752],[2.6874268999672495],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.4,1000,exp,329,5,27,space,0.22818869998445734,None,700,1,[1.4531076999846846],[1.4531164999934845],27,5,329,10,1361.190861900046,,1361.177796300035,1361.190861900046,1362.1907415000023,1362.1907415000023,1362.1907415000023,1362.4280713000335,space,0.22818869998445734,None,1362.4287278000265,1362.840316866703,1363.174999000039,1363.1466108000022,1363.1470413000206,1363.174999000039,1363.174999000039,1363.174999000039,1364.6288202000433,700,1,[1.4531076999846846],[1.4531164999934845],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,400,unexp,330,6,27,space,0.2620901000336744,None,560,1,[1.7213859999901615],[1.7213942999951541],27,6,330,2,1364.6416633999906,,1364.629146100022,1364.6416633999906,1365.6406368000316,1365.6406368000316,1365.6571343000396,1365.9114942000015,space,0.2620901000336744,None,1365.9121506999945,1366.6237715666687,1366.9391466000234,1366.9228946000221,1366.9235584000126,1366.9391466000234,1366.9391466000234,1366.9391466000234,1368.6612435000134,560,1,[1.7213859999901615],[1.7213942999951541],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,1000,exp,331,7,27,space,0.41817509999964386,None,670,1,[2.8722640000050887],[2.87227409996558],27,7,331,6,1368.6738139000372,,1368.661544200033,1368.6738139000372,1369.6738927999977,1369.6738927999977,1369.6738927999977,1370.0945678999997,space,0.41817509999964386,None,1370.0954276000266,1370.2070878666748,1370.522699800029,1370.507197900035,1370.507628899999,1370.522699800029,1370.522699800029,1370.522699800029,1373.3957605999894,670,1,[2.8722640000050887],[2.87227409996558],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,400,unexp,332,8,27,space,0.5271814000443555,None,80,1,[2.0039012000197545],[2.0039127000491135],27,8,332,0,1373.4076021999936,,1373.3960060999962,1373.4076021999936,1374.4066356000258,1374.4066356000258,1374.4066356000258,1374.9443010000396,space,0.5271814000443555,None,1374.9449506000383,1375.0569464666808,1375.390548700001,1375.3605234000133,1375.3609370000195,1375.390548700001,1375.390548700001,1375.390548700001,1377.3951919000247,80,1,[2.0039012000197545],[2.0039127000491135],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.1,1000,exp,333,9,27,space,0.7982672000071034,None,70,1,[2.438132800045423],[2.4381406000466086],27,9,333,9,1377.4070698000141,,1377.3954369000276,1377.4070698000141,1378.4070988000021,1378.4070988000021,1378.4070988000021,1379.211274100002,space,0.7982672000071034,None,1379.211954600003,1379.3234170666585,1379.639441700012,1379.6272620999953,1379.6276932000183,1379.639441700012,1379.639441700012,1379.639441700012,1382.078339300002,70,1,[2.438132800045423],[2.4381406000466086],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
0.7,1000,exp,334,10,27,space,0.5502419999684207,None,"90
",1,[3.2711068999487907],[3.271114499948453],27,10,334,5,1382.0902374000289,,1382.0785931000137,1382.0902374000289,1383.0902388000395,1383.0902388000395,1383.0902388000395,1383.6445680999896,space,0.5502419999684207,None,1383.6454247999936,1384.3566608667063,1384.689908500004,1384.6620881000417,1384.6624934000429,1384.689908500004,1384.689908500004,1384.689908500004,1387.9617085999926,"90
",1,[3.2711068999487907],[3.271114499948453],874043,001,2024-11-14_12h00.52.057,6.0 Intentional Binding,2024.2.4,60.56656387108725,2024-11-14 12h01.04.102328 +0530,
