trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,0,45,0,73.35388439999997,,73.34223050000003,73.35388439999997,74.35369720000006,74.35369720000006,75.10852180000006,0,up,1,0.7394925999999487,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
46,0,46,0,75.13348830000007,,75.11156330000006,75.13348830000007,76.11599490000003,76.13284329999999,76.7544322,0,up,1,0.6223597000000609,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
47,0,47,0,76.76550080000004,,76.75687820000007,76.76550080000004,77.76369940000006,77.78011950000007,78.43750320000004,1,up,0,0.6596472999999605,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
48,0,48,0,78.46162960000004,,78.4407109,78.46162960000004,79.44462970000006,79.4616072,80.32958280000003,0,down,0,0.8686268999999811,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
49,0,49,0,80.34260280000001,,80.3310219,80.34260280000001,81.34168499999998,81.34168499999998,81.93018170000005,0,up,1,0.5723307000000659,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
50,0,50,0,81.9558882,,81.93312679999997,81.9558882,82.93918180000003,82.95599820000007,83.61110860000008,-2,down,1,0.6572302000000718,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
51,0,51,0,83.6363384,,83.61418379999998,83.6363384,84.61899249999999,84.63591810000003,85.08864900000003,0,down,0,0.4654117000000042,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
52,0,52,0,85.10166679999998,,85.09012819999998,85.10166679999998,86.10151789999998,86.10151789999998,86.73568640000008,-4,down,1,0.6261263000000099,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
53,0,53,0,86.74903870000003,,86.73716160000004,86.74903870000003,87.74785329999997,87.76454750000005,88.32139560000007,3,up,0,0.5709035000000995,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
54,0,54,0,88.34551599999998,,88.32474500000001,88.34551599999998,89.32821060000003,89.34492,90.14911960000006,0,up,1,0.8135769000000437,None,01,001,2024-09-13_21h46.10.391,Signaldetect,2024.1.5,None,2024-09-13 21h46.24.998683 +0530,
