trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
56,0,56,0,113.68940610002028,,113.6490274000098,5,113.68940610002028,113.68940610002028,0.017099799995776266,115.92527230002452,[-0.38333333333333336],[-0.48],[1],[0],[0],[2.259595899959095],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
57,0,57,0,115.98587400000542,,115.92863769998075,10,115.98587400000542,115.98587400000542,0.03136010002344847,118.46872230002191,[0.25833333333333336],[-0.36],[1],[0],[0],[2.5089157999609597],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
58,0,58,0,118.53170290001435,,118.47184589999961,10,118.53170290001435,118.53170290001435,0.03358839999418706,121.94897560001118,[-0.27666666666666667],[0.14333333333333334],[1],[0],[0],[3.4438091999618337],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
59,0,59,0,122.00960190000478,,121.95313280000119,10,122.00960190000478,122.00960190000478,0.033701099979225546,124.19301310001174,[-0.325],[-0.355],[1],[0],[0],[2.206632300047204],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
60,0,60,0,124.25596839998616,,124.1960791000165,10,124.25596839998616,124.25596839998616,0.031495000002905726,126.77325029997155,[0.4533333333333333],[-0.345],[1],[0],[0],[2.5459538999712095],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
61,0,61,0,126.83501440001419,,126.77631589997327,10,126.83501440001419,126.83501440001419,0.03304140002001077,130.0000602999935,[-0.4116666666666667],[-0.38333333333333336],[1],[0],[0],[3.190987799956929],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
62,0,62,0,130.0463673999766,,130.00301109999418,5,130.0463673999766,130.0463673999766,0.01737470005173236,132.082273899985,[0.2833333333333333],[0.04833333333333333],[1],[0],[0],[2.0620799000025727],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
63,0,63,0,132.14309859997593,,132.08555730001535,10,132.14309859997593,132.14309859997593,0.0316778999986127,135.62808759999461,[0.28],[-0.44],[1],[0],[0],[3.511253000004217],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
64,0,64,0,135.6710692999768,,135.63159140001517,5,135.6710692999768,135.6710692999768,0.016942599962931126,138.22196120000444,[-0.2633333333333333],[0.26666666666666666],[1],[0],[0],[2.573714400001336],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
65,0,65,0,138.28349020000314,,138.2251016999944,10,138.28349020000314,138.28349020000314,0.032059799996204674,140.6496733999811,[0.3283333333333333],[0.23],[1],[0],[0],[2.3927200000034645],['Target'],02,001,2024-10-09_13h17.20.767,3.0 search,2024.1.5,None,2024-10-09 13h17.32.981379 +0530,
