stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
69,0.5,1.0,99.65829530000337,,99.64069679999375,99.65829530000337,100.15715720001026,100.15715720001026,100.19220640001004,100.45682600000873,101.75583599999663,right,1.0,0,0,1.5903877999808174,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
70,0.5,1.5,101.7714491999941,,101.75627829998848,101.7714491999941,102.30364530000952,102.30364530000952,102.30364530000952,102.63639910001075,104.1505261999846,right,1.5,1,1,1.8382317000068724,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
71,0.5,1.5,104.16742039998644,,104.15077290000045,104.16742039998644,104.66698879998876,104.66698879998876,104.69981089999783,104.99942529998953,106.24740190000739,right,1.5,0,0,1.5446863999823108,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
72,0.5,2.0,106.26417979999678,,106.24772419998772,106.26417979999678,106.78091840000707,106.78091840000707,106.78091840000707,107.1130264000094,107.86337949999142,left,-2.0,1,1,1.066579800011823,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
73,0.5,2.0,107.87839019999956,,107.86365049998858,107.87839019999956,108.41051929999958,108.41051929999958,108.41051929999958,108.74372009999934,109.42342549999012,right,2.0,1,1,0.9784717000147793,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
74,0.5,2.0,109.44274130000849,,109.42379480000818,109.44274130000849,109.94168069999432,109.94168069999432,109.9748957999982,110.27443449999555,111.12342429999262,right,2.0,1,1,1.1461041000147816,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
75,0.5,1.5,111.13947069999995,,111.12384949999978,111.13947069999995,111.6388592000003,111.6388592000003,111.67258230000152,111.97149970001192,113.07601059999433,right,1.5,0,0,1.4348827000067104,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
76,0.5,2.0,113.08628899999894,,113.07616830000188,113.08628899999894,113.59267409998574,113.59267409998574,113.6257942999946,113.92737349998788,114.50728580000577,right,2.0,1,1,0.8939725999953225,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
77,0.5,2.0,114.51822480000556,,114.50745750000351,114.51822480000556,115.05039709998528,115.05039709998528,115.05039709998528,115.36648769999738,115.64257050000015,right,2.0,1,1,0.579868600005284,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
78,0.5,2.0,115.66468779998831,,115.64271899999585,115.66468779998831,116.164804,116.164804,116.19818909998867,116.49775629999931,117.17866979999235,right,2.0,1,1,0.9968214999826159,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
79,0.5,1.5,117.1978625000047,,117.17905790000805,117.1978625000047,117.69632439999259,117.69632439999259,117.72939759999281,118.02853660000255,118.77095599999302,right,1.5,1,1,1.067148800007999,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
80,0.5,1.5,118.79289479998988,,118.77112049999414,118.79289479998988,119.29369339998811,119.29369339998811,119.32652149998466,119.62624929999583,120.07966109999688,left,-1.5,1,1,0.7690015000116546,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
81,0.5,1.5,120.10826440001256,,120.07993099998566,120.10826440001256,120.60774750000564,120.60774750000564,120.64101299998583,120.9403045999934,121.62478740001097,left,-1.5,1,1,1.0039013999921735,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
82,0.5,1.0,121.63954529998591,,121.62545319998753,121.63954529998591,122.17194739999832,122.17194739999832,122.17194739999832,122.50461010000436,123.29003559998819,left,-1.0,1,1,1.0955622000037692,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
83,0.5,1.0,123.30224789999193,,123.2904428000038,123.30224789999193,123.81969659999595,123.81969659999595,123.81969659999595,124.15263860000414,125.46459690001211,left,-1.0,1,1,1.6193273999961093,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
84,0.5,1.0,125.48347440001089,,125.46486790000927,125.48347440001089,125.98253909999039,125.98253909999039,126.01645329999155,126.31674459998612,126.69681180000771,right,1.0,1,1,0.7049569999799132,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
85,0.5,1.0,126.71471299999394,,126.69708079998964,126.71471299999394,127.21420660000877,127.21420660000877,127.24756920000073,127.51293719999376,128.09326170000713,right,1.0,1,1,0.8591226999997161,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
86,0.5,1.0,128.11229789999197,,128.0936570999911,128.11229789999197,128.61182270001154,128.61182270001154,128.6452344999998,128.94445909999195,129.3929902999953,right,1.0,1,1,0.7629830999940168,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
87,0.5,1.0,129.41162050000275,,129.39328839999507,129.41162050000275,129.9096687999845,129.9096687999845,129.9431743999885,130.24258660001215,130.95539749998716,right,1.0,1,1,1.0254537000146229,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
88,0.5,1.0,130.9749715999933,,130.9558085000026,130.9749715999933,131.47427109998534,131.47427109998534,131.50728309998522,131.80652179999743,132.45474039998953,left,-1.0,0,0,0.9690536999842152,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
89,0.5,1.5,132.47198880001088,,132.4552827999869,132.47198880001088,132.9715281999961,132.9715281999961,133.0046646000119,133.30507750000106,133.89063259999966,left,-1.5,0,0,0.8922703000134788,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
90,0.5,2.0,133.90275599999586,,133.89094640000258,133.90275599999586,134.4367773999984,134.4367773999984,134.4367773999984,134.76852879999205,134.88265449999017,left,-2.0,1,1,0.42293159998371266,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
91,0.5,2.0,134.90165650000563,,134.88304539999808,134.90165650000563,135.4009197000123,135.4009197000123,135.43413159999182,135.73342659999616,136.2837870999938,right,2.0,1,1,0.8452910000050906,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
92,0.5,2.0,136.29941969999345,,136.28416360000847,136.29941969999345,136.83206290000817,136.83206290000817,136.83206290000817,137.16610060000676,137.5138583999942,left,-2.0,1,1,0.6727865999855567,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
93,0.5,1.5,137.53060959998402,,137.51425519998884,137.53060959998402,138.02985459999763,138.02985459999763,138.0632207999879,138.36272559998906,138.71042439999292,right,1.5,1,1,0.6762941000051796,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
94,0.5,1.5,138.72882590000518,,138.71067530001164,138.72882590000518,139.2279550000094,139.2279550000094,139.26137960000779,139.56069789998583,140.0111736000108,left,-1.5,1,1,0.7706367999780923,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
95,0.5,1.5,140.02646860000095,,140.01142600001185,140.02646860000095,140.55957889999263,140.55957889999263,140.55957889999263,140.89195580000523,141.23926790000405,left,-1.5,1,1,0.6524962999974377,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
96,0.5,1.0,141.25801570000476,,141.23964529999648,141.25801570000476,141.75733970000874,141.75733970000874,141.79073280000011,142.090031300002,142.73870290000923,right,1.0,1,1,0.9574339000100736,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
97,0.5,1.0,142.75554949999787,,142.73912529999507,142.75554949999787,143.2547874999873,143.2547874999873,143.28820839998662,143.58849870000267,144.10118050000165,right,1.0,1,1,0.8229829000192694,482189,001,2024-09-09_10h56.18.481,adaptive_staircase,2024.1.5,None,2024-09-09 10h56.24.975969 +0530,
