pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,46,2,186,2,,,,,457.0420171000005,,457.0284197999863,457.0420171000005,458.04220619998523,458.04220619998523,458.04220619998523,458.04220619998523,458.04220619998523,459.0419130999944,459.0419130999944,459.16112429997884,c,1,None,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,46,3,187,3,,,,,459.17491309999605,,459.1629105999891,459.17491309999605,460.1746640999918,460.1746640999918,460.1746640999918,460.1746640999918,460.1746640999918,461.1744414999848,461.1744414999848,461.6261230999953,v,1,0.4491128999798093,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,47,0,188,0,,,,,461.6411212999956,,461.6270500999817,461.6411212999956,462.64144690000103,462.64144690000103,462.64144690000103,462.64144690000103,462.64144690000103,463.6406564999779,463.6406564999779,464.0930299999891,z,1,0.44462320001912303,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,47,1,189,1,,,,,464.1079077999748,,464.0945025999972,464.1079077999748,465.1076396999997,465.1076396999997,465.1076396999997,465.1076396999997,465.1076396999997,466.1068855999911,466.1068855999911,466.44306379999034,x,1,0.3289660000009462,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,47,2,190,2,,,,,466.4572708999913,,466.445003300003,466.4572708999913,467.4571662999806,467.4571662999806,467.4571662999806,467.4571662999806,467.4571662999806,468.45641719998093,468.45641719998093,468.87414839997655,c,1,0.41222470000502653,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,47,3,191,3,,,,,468.8894285999995,,468.87510229999316,468.8894285999995,469.8898094999895,469.8898094999895,469.8898094999895,469.8898094999895,469.8898094999895,470.8897769000032,470.8897769000032,471.223330799985,v,1,0.31805239999084733,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-150,z,48,0,192,0,,,,,471.23909149999963,,471.22419219999574,471.23909149999963,472.23941869998816,472.23941869998816,472.23941869998816,472.23941869998816,472.23941869998816,473.23889889998827,473.23889889998827,473.5410237000033,z,1,0.28666209999937564,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
-50,x,48,1,193,1,,,,,473.55559289999655,,473.5425616999855,473.55559289999655,474.55532129999483,474.55532129999483,474.55532129999483,474.55532129999483,474.55532129999483,475.5551125999773,475.5551125999773,475.8904314999818,x,1,0.32320320000872016,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
50,c,48,2,194,2,,,,,475.90522739998414,,475.89193479999085,475.90522739998414,476.90489259999595,476.90489259999595,476.90489259999595,476.90489259999595,476.90489259999595,477.9047180999769,477.9047180999769,478.22282199998153,c,1,0.31497439998202026,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
150,v,48,3,195,3,,,,,478.2379417999764,,478.22451579998597,478.2379417999764,479.2376716999861,479.2376716999861,479.2376716999861,479.2376716999861,479.2376716999861,480.2373878999788,480.2373878999788,480.68945529998746,v,1,0.4349194000242278,None,784868,001,2024-10-17_13h39.53.818,sequene learning,2024.1.5,None,2024-10-17 13h40.00.206054 +0530,
